dessertId,name,category,content,tags
1,巧克力布朗尼,巧克力系,巧克力布朗尼是店內人氣商品，採用70%苦甜巧克力與天然奶油烘焙，外酥內濕潤，濃郁香醇不甜膩，非常適合巧克力愛好者、下午茶及節日送禮。,巧克力|濃郁|人氣|下午茶|送禮
2,乳酪蛋糕,乳酪系,乳酪蛋糕使用澳洲進口奶油乳酪製作，口感綿密細緻、乳香濃郁，甜度適中，適合喜愛經典甜點與起司風味的顧客。,乳酪|綿密|起司|經典|下午茶
3,生日蛋糕,慶祝蛋糕,生日蛋糕提供多種尺寸與口味，可客製化祝福文字與造型，適合生日聚會、慶生及各式節慶活動。,生日|派對|客製化|慶祝|聚會
4,提拉米蘇,咖啡系,提拉米蘇融合濃縮咖啡、馬斯卡彭起司與可可粉，入口滑順帶有淡淡酒香，是大人系甜點的經典代表。,咖啡|酒香|滑順|義式|人氣
5,草莓千層蛋糕,水果系,草莓千層蛋糕以多層薄餅搭配鮮奶油及新鮮草莓堆疊而成，口感細膩、酸甜清爽，深受女性喜愛。,草莓|千層|鮮奶油|水果|人氣
6,抹茶紅豆大福,日式甜點,抹茶紅豆大福採用日本抹茶與蜜紅豆製成，外皮Q彈柔軟，內餡香甜不膩，充滿日式風味。,抹茶|紅豆|日式|Q彈|和菓子
7,檸檬塔,水果系,檸檬塔使用新鮮檸檬汁與奶油餡製作，酸甜平衡，塔皮酥脆，是夏季最受歡迎的甜點之一。,檸檬|酸甜|塔類|清爽|夏季
8,可麗露,法式甜點,可麗露外層焦糖酥脆、內部柔軟濕潤，散發香草與蘭姆酒香，是法式經典小點心。,法式|焦糖|外酥內軟|下午茶|人氣
9,馬卡龍,法式甜點,馬卡龍外殼酥脆、內餡滑順，提供覆盆莓、伯爵茶、開心果等多種口味，是精緻下午茶首選。,法式|精緻|下午茶|送禮|甜點
10,泡芙,經典甜點,泡芙外皮酥脆，內餡卡士達香濃滑順，每日現烤現灌餡，口感最佳。,泡芙|卡士達|現烤|經典|下午茶
11,香草奶酪,奶香系,香草奶酪使用天然香草莢與鮮奶製作，口感滑嫩細緻，冰涼爽口，適合飯後甜點。,奶香|滑嫩|冰涼|清爽|人氣
12,焦糖布丁,布丁系,焦糖布丁口感綿密滑順，搭配微苦焦糖醬，甜而不膩，深受大小朋友喜愛。,布丁|焦糖|滑順|經典|人氣
13,藍莓起司蛋糕,乳酪系,藍莓起司蛋糕結合濃郁乳酪與新鮮藍莓果醬，酸甜平衡，層次豐富。,藍莓|乳酪|水果|酸甜|下午茶
14,芒果慕斯,水果系,芒果慕斯採用新鮮愛文芒果製成，口感輕盈細緻，果香濃郁，非常適合夏季享用。,芒果|慕斯|水果|清爽|夏季
15,巧克力熔岩蛋糕,巧克力系,切開蛋糕即可流出濃郁巧克力內餡，搭配香草冰淇淋更加美味，是人氣熱甜點。,巧克力|熔岩|熱甜點|濃郁|人氣
16,黑森林蛋糕,巧克力系,黑森林蛋糕結合巧克力蛋糕、鮮奶油與櫻桃酒香，風味豐富，充滿德式經典特色。,巧克力|櫻桃|德式|鮮奶油|經典
