name,price,stock,enabled
巧克力布朗尼,200,10,true
乳酪蛋糕,300,10,true
生日蛋糕,2000,10,true
提拉米蘇,180,10,true
草莓千層蛋糕,220,10,true
抹茶紅豆大福,90,10,true
檸檬塔,150,10,true
可麗露,80,10,true
馬卡龍,70,10,true
泡芙,60,10,true
香草奶酪,100,10,true
焦糖布丁,90,10,true
藍莓起司蛋糕,320,10,true
芒果慕斯,250,10,true
巧克力熔岩蛋糕,280,10,true
黑森林蛋糕,350,10,true
水果塔,260,10,true
紅絲絨蛋糕,380,10,true
榛果巧克力蛋糕,360,10,true
抹茶千層蛋糕,300,10,true
草莓泡芙,75,10,true
芋頭蛋糕,320,10,true
香橙磅蛋糕,180,10,true
香蕉巧克力蛋糕,220,10,true
蜂蜜蛋糕,160,10,true
伯爵茶蛋糕,240,10,true
栗子蒙布朗,330,10,true
葡萄乾司康,70,10,true
蔓越莓司康,75,10,true
巧克力司康,80,10,true
原味瑪德蓮,50,10,true
檸檬瑪德蓮,55,10,true
抹茶瑪德蓮,60,10,true
巧克力瑪德蓮,60,10,true
草莓生乳捲,280,10,true
巧克力生乳捲,260,10,true
芒果生乳捲,290,10,true
抹茶生乳捲,270,10,true
芋泥生乳捲,300,10,true
焦糖起司塔,180,10,true
巧克力塔,190,10,true
蘋果派,200,10,true
肉桂捲,120,10,true
核桃布朗尼,210,10,true
巧克力餅乾,40,10,true
燕麥葡萄乾餅乾,45,10,true
杏仁瓦片,130,10,true
法式千層酥,220,10,true
草莓塔,250,10,true
香草泡芙,65,10,true
